function,dimension,noise_sigma,method,variant_id,method_instance,reference_method_instance,n_pairs,reference_median,method_median,median_delta_vs_reference,win_rate_vs_reference,loss_rate_vs_reference,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,vanilla_cma,20,903.0941526591278,689.8766358225275,-386.4662218836146,0.55,0.45,0.17685317993164062,0.24025337651090803
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k090_r005,proxy_sigma_controller:anchor_k090_r005,vanilla_cma,20,903.0941526591278,428.7855826725431,-398.1894837576318,0.85,0.15,0.009435653686523438,0.01778447815260962
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k090_r010,proxy_sigma_controller:anchor_k090_r010,vanilla_cma,20,903.0941526591278,534.115889750865,-387.9980195908004,0.8,0.2,0.00830841064453125,0.015825544084821428
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k093_r005,proxy_sigma_controller:anchor_k093_r005,vanilla_cma,20,903.0941526591278,369.76714289441236,-547.4221201177452,0.7,0.3,0.013616561889648438,0.02438787204116138
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k093_r020,proxy_sigma_controller:anchor_k093_r020,vanilla_cma,20,903.0941526591278,1073.8929784398958,-48.82789539528662,0.55,0.45,0.6476554870605469,0.7174030010516826
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k095_r005,proxy_sigma_controller:anchor_k095_r005,vanilla_cma,20,903.0941526591278,928.8659275387442,113.54776027339022,0.5,0.5,0.9272785186767578,0.9456664779706312
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k095_r010,proxy_sigma_controller:anchor_k095_r010,vanilla_cma,20,903.0941526591278,982.2661311454498,216.8496037941319,0.4,0.6,0.8694877624511719,0.8994700990874192
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k097_r005,proxy_sigma_controller:anchor_k097_r005,vanilla_cma,20,903.0941526591278,601.2217278896417,-178.48990126680815,0.65,0.35,0.2942523956298828,0.3729959944604148
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k097_r010,proxy_sigma_controller:anchor_k097_r010,vanilla_cma,20,903.0941526591278,1177.325981203046,-208.34405259141062,0.55,0.45,0.8123550415039062,0.8576182256346224
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,anchor_k098_r025,proxy_sigma_controller:anchor_k098_r025,vanilla_cma,20,903.0941526591278,1318.9804774444412,558.2879676774988,0.45,0.55,0.2942523956298828,0.3729959944604148
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,vanilla_cma,20,895.4445671709734,714.7220807432705,-366.1479983063532,0.55,0.45,0.2305126190185547,0.30509023105396943
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k090_r005,proxy_sigma_controller:anchor_k090_r005,vanilla_cma,20,895.4445671709734,428.7360221591867,-396.5796402418916,0.85,0.15,0.012079238891601562,0.02185188945214353
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k090_r010,proxy_sigma_controller:anchor_k090_r010,vanilla_cma,20,895.4445671709734,534.2061687257178,-388.00932290228303,0.8,0.2,0.00830841064453125,0.015825544084821428
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k093_r005,proxy_sigma_controller:anchor_k093_r005,vanilla_cma,20,895.4445671709734,369.8995821899,-511.82102239638755,0.7,0.3,0.012079238891601562,0.02185188945214353
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k093_r020,proxy_sigma_controller:anchor_k093_r020,vanilla_cma,20,895.4445671709734,1073.838834198084,-48.98730272497315,0.55,0.45,0.6742229461669922,0.7422637939453125
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k095_r005,proxy_sigma_controller:anchor_k095_r005,vanilla_cma,20,895.4445671709734,928.8598049907571,113.4504270869067,0.5,0.5,0.9854354858398438,0.9854354858398438
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k095_r010,proxy_sigma_controller:anchor_k095_r010,vanilla_cma,20,895.4445671709734,982.2933397285196,216.89684291432883,0.4,0.6,0.8408222198486328,0.8748439281662076
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k097_r005,proxy_sigma_controller:anchor_k097_r005,vanilla_cma,20,895.4445671709734,601.1850524020495,-194.40602763133256,0.65,0.35,0.3299827575683594,0.4139156540927156
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,anchor_k097_r010,proxy_sigma_controller:anchor_k097_r010,vanilla_cma,20,895.4445671709734,1177.3377180452553,-208.43121006549057,0.55,0.45,0.8123550415039062,0.8576182256346224
