method,variant_id,method_instance,reference_method_instance,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value
proxy_sigma_controller,anchor_k086_r002,proxy_sigma_controller:anchor_k086_r002,vanilla_cma,36,-46.5561588466064,0.6708333333333333,0.3291666666666667,0.7777777777777778,20,8.58306884765625e-06
proxy_sigma_controller,anchor_k090_r005,proxy_sigma_controller:anchor_k090_r005,vanilla_cma,36,-38.269438095639316,0.6208333333333333,0.3791666666666667,0.6666666666666666,21,8.58306884765625e-06
proxy_sigma_controller,anchor_k090_r010,proxy_sigma_controller:anchor_k090_r010,vanilla_cma,36,-9.5215689306378,0.5194444444444446,0.48055555555555546,0.5555555555555556,23,8.58306884765625e-06
proxy_sigma_controller,anchor_k093_r005,proxy_sigma_controller:anchor_k093_r005,vanilla_cma,36,-44.306122586950245,0.6194444444444444,0.38055555555555554,0.6666666666666666,25,8.58306884765625e-06
proxy_sigma_controller,anchor_k093_r020,proxy_sigma_controller:anchor_k093_r020,vanilla_cma,36,4.407246170494582,0.3013888888888889,0.6986111111111111,0.3055555555555556,23,8.58306884765625e-06
proxy_sigma_controller,anchor_k095_r005,proxy_sigma_controller:anchor_k095_r005,vanilla_cma,36,-3.529629107199681,0.5986111111111111,0.4013888888888889,0.5555555555555556,20,8.58306884765625e-06
proxy_sigma_controller,anchor_k095_r010,proxy_sigma_controller:anchor_k095_r010,vanilla_cma,36,-1.856800051998006,0.4819444444444445,0.5180555555555555,0.5,22,8.58306884765625e-06
proxy_sigma_controller,anchor_k097_r005,proxy_sigma_controller:anchor_k097_r005,vanilla_cma,36,-4.156299974215191,0.5750000000000001,0.42500000000000004,0.5833333333333334,21,8.58306884765625e-06
proxy_sigma_controller,anchor_k097_r010,proxy_sigma_controller:anchor_k097_r010,vanilla_cma,36,-1.6511046726136411,0.4861111111111112,0.5138888888888888,0.5,22,8.58306884765625e-06
proxy_sigma_controller,anchor_k098_r025,proxy_sigma_controller:anchor_k098_r025,vanilla_cma,36,9.954657086494597,0.25,0.75,0.16666666666666666,24,8.58306884765625e-06
