method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,10,0.0,0.86,0.02,7.541144486729183,50,5,0.1,840.5754492544476,674.3718753635128,86.0,4.4,85.4,29.36270791978304,29.186707919783043,0.176,0.9932277506080588,0.038257767632171535,0.06938365237559084
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,10,0.1,0.86,0.02,7.541144486729183,50,5,0.1,856.17451827234,675.4968890728469,86.0,4.0,85.4,29.203955984124253,29.04395598412425,0.15999999999999998,0.9937826308246119,0.038257767632171535,0.06938365237559084
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,10,0.2,0.86,0.02,7.541144486729183,50,5,0.1,836.6973298529215,636.6334912254182,86.0,4.2,85.6,29.38912312869953,29.22112312869954,0.16799999999999998,0.9934420727400017,0.03715638570774338,0.06891850532711855
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,20,0.0,0.86,0.02,7.541144486729183,50,5,0.1,30360.851865625198,25841.673856330406,100.0,0.0,100.0,39.356414174036516,39.356414174036516,0.0,1.0,0.031349849968686797,0.0678511293364038
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,20,0.1,0.86,0.02,7.541144486729183,50,5,0.1,30329.91087001801,25841.560137666907,100.0,0.0,100.0,39.356414174036516,39.356414174036516,0.0,1.0,0.031349849968686797,0.0678511293364038
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,20,0.2,0.86,0.02,7.541144486729183,50,5,0.1,30244.56752133507,25287.685262514697,100.0,0.0,100.0,39.356414174036516,39.356414174036516,0.0,1.0,0.031349849968686797,0.0678511293364038
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,40,0.0,0.86,0.02,7.541144486729183,50,5,0.1,264078.49126356957,263396.7690536977,100.0,0.0,100.0,48.61665896390845,48.61665896390845,0.0,1.0,0.024991057571619384,0.06157963435988031
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,40,0.1,0.86,0.02,7.541144486729183,50,5,0.1,264078.4742499871,263396.6903025171,100.0,0.0,100.0,48.61665896390845,48.61665896390845,0.0,1.0,0.024991057571619384,0.06157963435988031
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,ellipsoid_cond1e6,40,0.2,0.86,0.02,7.541144486729183,50,5,0.1,264078.4703036059,263396.95753505715,100.0,0.0,100.0,48.61665896390845,48.61665896390845,0.0,1.0,0.024991057571619384,0.06157963435988031
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,rastrigin,10,0.0,0.86,0.02,7.541144486729183,50,5,0.1,19.60254360315827,18.10255928748647,59.4,41.4,58.4,35.949777338477446,34.29377733847745,1.6560000000000001,0.9471976566858473,0.02959747200125165,0.06599926728036094
