method,variant_id,method_instance,k,r,descent_sharpness,n_runs,n_cells_observed,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,0.86,0.02,7.541144486729183,1800,36,720,0.4,24677.049469190548,67.86093821594483,81.87916666666666,16.368055555555557,81.175,43.25651483554088,42.60179261331866,0.6547222222222223,0.9817670004454688,0.014598972544984691,0.0545954296310394
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,0.86,0.03,5.0274296578194555,1800,36,720,0.4,24677.665523390093,71.1307331812628,75.48611111111111,21.84027777777778,74.65277777777777,43.679492798692955,42.36907613202629,1.3104166666666668,0.9646666176251851,0.014556142645643859,0.05397302628718093
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,0.86,0.05,3.016457794691673,1800,36,720,0.4,24702.683614573838,76.9100214074039,64.17361111111111,31.273611111111112,63.24305555555556,44.856463455047766,41.72910234393666,3.127361111111111,0.9209371143852275,0.015481674228599706,0.05347872036644326
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,0.86,0.07,2.1546127104940522,1800,36,720,0.4,25097.433478159204,88.4898106302312,56.28888888888889,39.23888888888889,55.329166666666666,46.379548839809225,40.886104395364775,5.493444444444445,0.8692064503470049,0.016441301540390103,0.05333470017897673
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,0.86,0.1,1.5082288973458364,1800,36,720,0.4,25953.815246387512,110.87288005861492,48.46388888888889,47.730555555555554,47.46666666666667,49.2341949363808,39.68808382526969,9.546111111111108,0.7917450676249848,0.017037917242086156,0.05332749505635088
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,0.86,0.15,1.005485931563891,1800,36,720,0.4,32149.81603415507,141.63846890805857,39.87361111111111,57.915277777777774,38.87361111111111,54.83081412217689,37.45623078884355,17.374583333333334,0.6688621171635357,0.01796884382402944,0.05381256120913749
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,0.86,0.2,0.7541144486729182,1800,36,720,0.4,39286.82861523845,155.27428007324147,33.71111111111111,64.50972222222222,32.71111111111111,61.19708119556229,35.39319230667341,25.803888888888878,0.5661732174211623,0.01854030435927308,0.05445889670022903
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,0.86,0.25,0.6032915589383346,1800,36,720,0.4,47832.27266164654,178.34526955013078,29.558333333333334,68.80555555555556,28.558333333333334,68.11227980497046,33.709502027192684,34.40277777777778,0.4856038722746473,0.018471032822232152,0.05461487497169548
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,0.88,0.02,6.391668575494244,1800,36,720,0.4,27386.852760840426,63.04779997586739,82.79583333333333,15.484722222222222,82.11944444444444,44.31843143742072,43.69904254853183,0.619388888888889,0.9831537492698441,0.013089083040311459,0.04842140673982396
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,0.88,0.03,4.261112383662829,1800,36,720,0.4,27356.448401125894,64.78359172900642,76.75555555555556,20.794444444444444,75.95555555555555,44.72595432839441,43.47828766172775,1.2476666666666665,0.9671516799570472,0.013033056669100478,0.04774984116107761
