method,variant_id,method_instance,reference_method_instance,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p02,vanilla_cma,36,-47.071629031839215,0.6572222222222222,0.3427777777777778,0.7777777777777778,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p03,vanilla_cma,36,-45.353944577531074,0.6477777777777777,0.3522222222222222,0.6944444444444444,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p05,vanilla_cma,36,-40.27530810518402,0.6138888888888888,0.3861111111111111,0.6388888888888888,27,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p07,vanilla_cma,36,-33.17440580561353,0.5772222222222222,0.4227777777777778,0.5555555555555556,31,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p1,vanilla_cma,36,-18.63109306515029,0.5033333333333334,0.49666666666666665,0.5555555555555556,28,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p15,vanilla_cma,36,2.1412064670710675,0.36277777777777775,0.6372222222222222,0.3055555555555556,24,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p2,vanilla_cma,36,5.811574486344607,0.29500000000000004,0.705,0.16666666666666666,28,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p86__sigma_min_ratio_0p25,vanilla_cma,36,11.709815846964098,0.24444444444444446,0.7555555555555556,0.1111111111111111,27,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p02,vanilla_cma,36,-49.07200739267913,0.6461111111111112,0.35388888888888886,0.7777777777777778,23,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p03,vanilla_cma,36,-47.52133602705296,0.6377777777777778,0.3622222222222222,0.7222222222222222,23,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p05,vanilla_cma,36,-41.9090813943488,0.6122222222222222,0.3877777777777778,0.6666666666666666,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p07,vanilla_cma,36,-34.04534506710698,0.5822222222222222,0.41777777777777775,0.6111111111111112,27,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p1,vanilla_cma,36,-18.03583744984114,0.5066666666666666,0.4933333333333334,0.5555555555555556,30,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p15,vanilla_cma,36,2.188220457126585,0.3611111111111111,0.6388888888888888,0.2777777777777778,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p2,vanilla_cma,36,5.503237142412935,0.29500000000000004,0.7050000000000001,0.16666666666666666,29,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p88__sigma_min_ratio_0p25,vanilla_cma,36,7.570823430025121,0.23222222222222222,0.7677777777777778,0.19444444444444445,30,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p02,vanilla_cma,36,-52.10163337160182,0.645,0.35500000000000004,0.75,24,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p03,vanilla_cma,36,-50.908420764234535,0.6333333333333333,0.3666666666666667,0.6666666666666666,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p05,vanilla_cma,36,-45.820589916410654,0.6061111111111112,0.39388888888888896,0.6388888888888888,27,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p07,vanilla_cma,36,-39.7587753805287,0.5711111111111111,0.4288888888888889,0.5833333333333334,26,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p1,vanilla_cma,36,-16.096919322182792,0.5094444444444445,0.4905555555555556,0.5833333333333334,29,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p15,vanilla_cma,36,1.390925649271421,0.36999999999999994,0.6300000000000001,0.3055555555555556,24,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p2,vanilla_cma,36,4.521392011218653,0.29444444444444445,0.7055555555555555,0.19444444444444445,29,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p93__sigma_min_ratio_0p25,vanilla_cma,36,11.424811183188336,0.24333333333333332,0.7566666666666666,0.1111111111111111,29,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p02,vanilla_cma,36,-47.248645516394745,0.6133333333333333,0.38666666666666666,0.6111111111111112,22,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p03,vanilla_cma,36,-47.19171740569036,0.6116666666666666,0.3883333333333333,0.6388888888888888,22,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p05,vanilla_cma,36,-44.39055917580809,0.5861111111111109,0.4138888888888889,0.5833333333333334,23,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p07,vanilla_cma,36,-35.37056369792609,0.5566666666666666,0.4433333333333333,0.5833333333333334,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p1,vanilla_cma,36,-1.610037508081257,0.4783333333333332,0.5216666666666667,0.5,28,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p15,vanilla_cma,36,1.4902421324421213,0.3572222222222222,0.6427777777777778,0.3055555555555556,24,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p2,vanilla_cma,36,4.510431381292572,0.28611111111111115,0.713888888888889,0.19444444444444445,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p95__sigma_min_ratio_0p25,vanilla_cma,36,7.367084652843916,0.25055555555555553,0.7494444444444445,0.2222222222222222,29,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p02,vanilla_cma,36,-4.709510581478995,0.6077777777777778,0.3922222222222222,0.6944444444444444,21,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p03,vanilla_cma,36,-4.32211292720338,0.6055555555555556,0.3944444444444445,0.7222222222222222,21,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p05,vanilla_cma,36,-2.9986468484155493,0.5733333333333334,0.4266666666666666,0.5555555555555556,22,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p07,vanilla_cma,36,-2.4576548033437366,0.5338888888888889,0.46611111111111103,0.5,23,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p1,vanilla_cma,36,-0.2916398824599002,0.4844444444444444,0.5155555555555557,0.5,29,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p15,vanilla_cma,36,1.1690008061368653,0.3688888888888889,0.6311111111111112,0.3055555555555556,27,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p2,vanilla_cma,36,4.406905818961743,0.28444444444444444,0.7155555555555555,0.25,27,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p97__sigma_min_ratio_0p25,vanilla_cma,36,9.067179399032895,0.2588888888888889,0.741111111111111,0.16666666666666666,24,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p02,vanilla_cma,36,-11.538577707342856,0.5633333333333332,0.43666666666666665,0.6944444444444444,21,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p03,vanilla_cma,36,-11.320653188275642,0.5616666666666665,0.4383333333333333,0.7222222222222222,21,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p05,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p05,vanilla_cma,36,-10.874499187914587,0.5366666666666666,0.4633333333333333,0.5833333333333334,23,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p07,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p07,vanilla_cma,36,-10.170038621469132,0.5027777777777778,0.4972222222222223,0.5833333333333334,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p1,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p1,vanilla_cma,36,-1.0029143302380776,0.4488888888888888,0.5511111111111113,0.5,28,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p15,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p15,vanilla_cma,36,0.6606586179430611,0.3572222222222222,0.6427777777777778,0.3888888888888889,23,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p2,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p2,vanilla_cma,36,7.882624293725467,0.2688888888888889,0.7311111111111112,0.16666666666666666,25,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p25,proxy_sigma_controller:geomdense__sigma_down_factor_0p98__sigma_min_ratio_0p25,vanilla_cma,36,10.976877910791753,0.2527777777777778,0.7472222222222222,0.16666666666666666,28,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p99__sigma_min_ratio_0p02,proxy_sigma_controller:geomdense__sigma_down_factor_0p99__sigma_min_ratio_0p02,vanilla_cma,36,-0.048799079950197,0.486111111111111,0.5138888888888888,0.5277777777777778,13,1.0006665422929529e-14
proxy_sigma_controller,geomdense__sigma_down_factor_0p99__sigma_min_ratio_0p03,proxy_sigma_controller:geomdense__sigma_down_factor_0p99__sigma_min_ratio_0p03,vanilla_cma,36,-0.006572481906974542,0.4822222222222222,0.5177777777777778,0.5277777777777778,13,1.0006665422929529e-14
