method,variant_id,method_instance,function,dimension,noise_sigma,k,r,descent_sharpness,n_runs,n_trace_available,trace_coverage,final_best_mean,final_best_median,first_floor_gen_trace_mean,floor_gens_trace_mean,descent_gens_trace_mean,sigma_volume_total_mean,sigma_volume_descent_mean,sigma_volume_floor_mean,descent_volume_fraction_mean,mean_log_contraction_descent_mean,std_log_contraction_descent_mean
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,10,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,841.0913455049393,747.0870849376054,75.6,6.8,75.0,44.387163020352986,43.70716302035299,0.68,0.9816556336251964,0.025788207355865723,0.048293160365511734
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,10,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,889.8063447944996,770.2485297446567,75.6,10.2,75.0,44.18273520917838,43.16273520917838,1.02,0.9723352194747548,0.025788207355865723,0.048293160365511734
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,10,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,838.0674286982284,745.9767503768941,75.6,6.8,75.0,44.388815914360805,43.70881591436081,0.68,0.9816556336251964,0.025729089751382626,0.04833011677493295
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,20,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,42553.44915899275,39401.46994105214,99.8,0.6,99.4,50.57599932842159,50.515999328421586,0.06000000000000001,0.9987650521992328,0.0169417212737601,0.042890206307339654
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,20,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,42553.43364366293,39401.441346687716,99.8,0.6,99.4,50.57599932842159,50.515999328421586,0.06000000000000001,0.9987650521992328,0.0169417212737601,0.042890206307339654
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,20,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,42553.47546031033,39401.30060558423,99.8,0.6,99.4,50.57599932842159,50.515999328421586,0.06000000000000001,0.9987650521992328,0.0169417212737601,0.042890206307339654
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,40,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,334120.0121353355,305777.87113927456,100.0,0.0,100.0,63.06400356135468,63.06400356135468,0.0,1.0,0.015581784745887678,0.04675484517956799
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,40,0.1,0.9,0.05,2.1072103131565254,50,5,0.1,334120.0325250115,305777.8488074206,100.0,0.0,100.0,63.06400356135468,63.06400356135468,0.0,1.0,0.015581784745887678,0.04675484517956799
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,ellipsoid_cond1e6,40,0.2,0.9,0.05,2.1072103131565254,50,5,0.1,334120.07179160113,305777.82105028565,100.0,0.0,100.0,63.06400356135468,63.06400356135468,0.0,1.0,0.015581784745887678,0.04675484517956799
proxy_sigma_controller,int_k090_r005_t005_020,proxy_sigma_controller:int_k090_r005_t005_020,rastrigin,10,0.0,0.9,0.05,2.1072103131565254,50,5,0.1,18.71869248763426,17.450839387637153,55.6,44.4,54.6,51.57602291930225,47.136022919302256,4.4399999999999995,0.9129021145366348,0.024981803393762103,0.05229632035351254
