function,dimension,noise_sigma,method_a,method_b,n_pairs,median_delta_b_minus_a,win_rate_b_vs_a,loss_rate_b_vs_a,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-376.40478425496406,0.68,0.32,0.0015962870115284744,0.002498536191957612
ellipsoid_cond1e6,10,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-376.38538984280876,0.7,0.3,0.001282241835095732,0.0020982139119748344
ellipsoid_cond1e6,10,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-349.2707825798667,0.66,0.34,0.0021981232450851707,0.003297184867627756
ellipsoid_cond1e6,20,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-32548.900512691638,0.9,0.1,5.610267805877811e-11,1.5536126231661632e-10
ellipsoid_cond1e6,20,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-32549.045819151524,0.9,0.1,5.610267805877811e-11,1.5536126231661632e-10
ellipsoid_cond1e6,20,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-32549.26619522481,0.9,0.1,5.610267805877811e-11,1.5536126231661632e-10
ellipsoid_cond1e6,40,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-634342.7000867786,0.98,0.02,3.552713678800501e-15,2.1316282072803006e-14
ellipsoid_cond1e6,40,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-634342.6976476568,0.98,0.02,3.552713678800501e-15,2.1316282072803006e-14
ellipsoid_cond1e6,40,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-634342.9196522788,0.98,0.02,3.552713678800501e-15,2.1316282072803006e-14
rastrigin,10,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-4.06854486269809,0.62,0.38,0.1406841997467243,0.14895974090829633
rastrigin,10,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,1.4498794475004733,0.48,0.52,0.24513084584396871,0.24513084584396871
rastrigin,10,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-4.682915629137128,0.62,0.38,0.12080975020940343,0.14029519379156527
rastrigin,20,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-42.54632845403914,0.86,0.14,1.5961560961841315e-09,3.830774630841915e-09
rastrigin,20,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-36.72136304819083,0.84,0.16,1.0642100534141719e-08,2.253621289582952e-08
rastrigin,20,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-33.66628675489222,0.86,0.14,1.6198182883897516e-07,3.239636576779503e-07
rastrigin,40,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-48.374031188904155,0.84,0.16,4.057499225496031e-09,9.129373257366069e-09
rastrigin,40,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-35.99081571733686,0.78,0.22,2.649707155910619e-07,5.020497769093805e-07
rastrigin,40,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-32.846482895922264,0.76,0.24,9.915398697479816e-05,0.00017847717655463668
rosenbrock,10,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,2.1667428996053584,0.34,0.66,0.03286210881230289,0.04286583554948023
rosenbrock,10,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,2.589674778093052,0.24,0.76,0.01958777690517799,0.02712153725332337
rosenbrock,10,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,1.8708458600025613,0.3,0.7,0.01407853473248366,0.020273090014776472
rosenbrock,20,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,28.60444691120863,0.32,0.68,0.03453081197041463,0.04286583554948023
rosenbrock,20,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,26.29135796346363,0.3,0.7,0.03453081197041463,0.04286583554948023
rosenbrock,20,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,21.834429328613293,0.38,0.62,0.12080975020940343,0.14029519379156527
rosenbrock,40,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-63.07223083900547,0.56,0.44,0.1406841997467243,0.14895974090829633
rosenbrock,40,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-65.25917627602806,0.58,0.42,0.19095974436218555,0.196415737058248
rosenbrock,40,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,-72.99670351283854,0.58,0.42,0.1255634661063354,0.14125889936962732
sphere,10,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,0.01830990247482473,0.0,1.0,1.7763568394002505e-15,2.1316282072803006e-14
sphere,10,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,0.060251608645305946,0.04,0.96,1.9539925233402755e-13,8.79296635503124e-13
sphere,10,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,0.050568268945568595,0.24,0.76,0.0006457255474483503,0.001106958081340029
sphere,20,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,0.28858143363302435,0.0,1.0,1.7763568394002505e-15,2.1316282072803006e-14
sphere,20,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,0.32258135545933647,0.0,1.0,1.7763568394002505e-15,2.1316282072803006e-14
sphere,20,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,0.34369619675959995,0.04,0.96,3.375077994860476e-14,1.735754397356816e-13
sphere,40,0.0,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,1.2072400250700073,0.1,0.9,6.616929226765933e-12,2.6467716907063732e-11
sphere,40,0.1,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,1.2070135858591753,0.1,0.9,1.616786704516926e-10,4.157451525900667e-10
sphere,40,0.2,vanilla_cma,proxy_sigma_controller:int_k090_r010_t008_025,50,0.9977702230656843,0.16,0.84,3.40367733997482e-11,1.2253238423909353e-10
