run_index,phase,method,variant_id,method_instance,reference_method,function,dimension,noise_sigma,seed,eval_budget,popsize,initial_sigma,status,error_message,n_evals,generations,final_best,duration_sec,proxy_schema_version,proxy_sigma_factor_last,proxy_ema_snr_last,proxy_time_to_first_floor_gen,proxy_fraction_at_floor,proxy_n_floor_entries,proxy_n_floor_exits,proxy_n_down_steps,proxy_n_up_steps,proxy_n_neutral_steps,proxy_sigma_min_seen,proxy_sigma_max_seen,proxy_trace_written,proxy_trace_relpath
1,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1000,1000,10,2.0,ok,,1000,100,4.5271006638323166e-05,0.7006020545959473,,,,,,,,,,,,,,
2,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1001,1000,10,2.0,ok,,1000,100,3.4448773630602864e-05,0.032440185546875,,,,,,,,,,,,,,
3,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1002,1000,10,2.0,ok,,1000,100,3.6621518333454724e-05,0.03564095497131348,,,,,,,,,,,,,,
4,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1003,1000,10,2.0,ok,,1000,100,1.021741972026218e-05,0.03351998329162598,,,,,,,,,,,,,,
5,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1004,1000,10,2.0,ok,,1000,100,8.853186794275138e-06,0.03252673149108887,,,,,,,,,,,,,,
6,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1005,1000,10,2.0,ok,,1000,100,1.327652050101939e-05,0.03103494644165039,,,,,,,,,,,,,,
7,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1006,1000,10,2.0,ok,,1000,100,5.798383312265393e-06,0.032299041748046875,,,,,,,,,,,,,,
8,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1007,1000,10,2.0,ok,,1000,100,9.826956450974887e-06,0.05526423454284668,,,,,,,,,,,,,,
9,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1008,1000,10,2.0,ok,,1000,100,1.3459429022556809e-05,0.03222179412841797,,,,,,,,,,,,,,
10,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1009,1000,10,2.0,ok,,1000,100,5.45364443340885e-06,0.03229093551635742,,,,,,,,,,,,,,
11,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1010,1000,10,2.0,ok,,1000,100,3.1379121239457085e-05,0.032547712326049805,,,,,,,,,,,,,,
12,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1011,1000,10,2.0,ok,,1000,100,7.85167011225951e-05,0.032720327377319336,,,,,,,,,,,,,,
13,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1012,1000,10,2.0,ok,,1000,100,1.0731310090570998e-05,0.0330502986907959,,,,,,,,,,,,,,
14,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1013,1000,10,2.0,ok,,1000,100,4.464644883345778e-05,0.03183102607727051,,,,,,,,,,,,,,
15,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1014,1000,10,2.0,ok,,1000,100,6.390407803475652e-06,0.032267093658447266,,,,,,,,,,,,,,
16,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1015,1000,10,2.0,ok,,1000,100,1.5174218311142471e-05,0.03200721740722656,,,,,,,,,,,,,,
17,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1016,1000,10,2.0,ok,,1000,100,3.1271866301344536e-05,0.0325009822845459,,,,,,,,,,,,,,
18,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1017,1000,10,2.0,ok,,1000,100,1.6102220826332598e-05,0.03234410285949707,,,,,,,,,,,,,,
19,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1018,1000,10,2.0,ok,,1000,100,4.200845628208085e-05,0.031107187271118164,,,,,,,,,,,,,,
20,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1019,1000,10,2.0,ok,,1000,100,1.57467314896111e-05,0.03388381004333496,,,,,,,,,,,,,,
21,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1020,1000,10,2.0,ok,,1000,100,1.3505513330061401e-05,0.03294110298156738,,,,,,,,,,,,,,
22,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1021,1000,10,2.0,ok,,1000,100,7.144418042748617e-06,0.032299041748046875,,,,,,,,,,,,,,
23,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1022,1000,10,2.0,ok,,1000,100,8.230274874310426e-06,0.03482198715209961,,,,,,,,,,,,,,
24,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1023,1000,10,2.0,ok,,1000,100,5.074176853456242e-06,0.03286600112915039,,,,,,,,,,,,,,
25,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1024,1000,10,2.0,ok,,1000,100,2.914841725766232e-06,0.032823801040649414,,,,,,,,,,,,,,
26,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1025,1000,10,2.0,ok,,1000,100,3.640888235083292e-06,0.03326892852783203,,,,,,,,,,,,,,
27,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1026,1000,10,2.0,ok,,1000,100,3.0778332540947445e-05,0.0337831974029541,,,,,,,,,,,,,,
28,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1027,1000,10,2.0,ok,,1000,100,5.4733720996007004e-05,0.03352093696594238,,,,,,,,,,,,,,
29,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1028,1000,10,2.0,ok,,1000,100,5.228982981963901e-06,0.032652854919433594,,,,,,,,,,,,,,
30,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1029,1000,10,2.0,ok,,1000,100,1.8532786966021284e-05,0.034121036529541016,,,,,,,,,,,,,,
31,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1030,1000,10,2.0,ok,,1000,100,6.185583381625111e-06,0.03416609764099121,,,,,,,,,,,,,,
32,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1031,1000,10,2.0,ok,,1000,100,8.677569882318685e-06,0.0336761474609375,,,,,,,,,,,,,,
33,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1032,1000,10,2.0,ok,,1000,100,6.686655372990386e-06,0.03305196762084961,,,,,,,,,,,,,,
34,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1033,1000,10,2.0,ok,,1000,100,1.4589152191938853e-05,0.03236103057861328,,,,,,,,,,,,,,
35,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1034,1000,10,2.0,ok,,1000,100,1.043368352086974e-05,0.03262209892272949,,,,,,,,,,,,,,
36,eval,vanilla_cma,,vanilla_cma,vanilla_cma,sphere,10,0.0,1035,1000,10,2.0,ok,,1000,100,1.579646243900794e-05,0.032646894454956055,,,,,,,,,,,,,,
