method,variant_id,method_instance,n_runs,n_behavior_rows,proxy_fraction_at_floor_mean,proxy_fraction_at_floor_median,proxy_time_to_first_floor_gen_mean,proxy_n_floor_entries_mean,proxy_n_floor_exits_mean,proxy_n_down_steps_mean,proxy_n_up_steps_mean,proxy_n_neutral_steps_mean,proxy_sigma_min_seen_mean,proxy_sigma_max_seen_mean,proxy_ema_snr_last_mean
proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,1440,1440,0.2049513888888889,0.17,76.42569444444445,1.5270833333333333,0.9236111111111112,34.3,14.334722222222222,51.36527777777778,0.12072433251459244,2.0139911298430158,0.09126014195850972
proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,1440,1440,0.3657569444444445,0.42,58.90833333333333,2.3006944444444444,1.4708333333333334,43.90972222222222,11.443055555555556,44.647222222222226,0.2025142115415592,2.0139911298430158,0.05401856499665193
proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,1440,1440,0.5508402777777778,0.58,40.99444444444445,3.24375,2.265972222222222,55.87569444444444,8.48125,35.643055555555556,0.4,2.0139911298430158,0.01607309198681752
proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,1440,1440,0.1762152777777778,0.13,80.15138888888889,1.4027777777777777,0.825,36.70902777777778,13.281944444444445,50.009027777777774,0.1245636353369194,2.014102935026531,0.0968424480748325
proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,1440,1440,0.3311527777777778,0.37,63.075,2.1777777777777776,1.3694444444444445,45.28611111111111,10.657638888888888,44.05625,0.20403265376278318,2.014102935026531,0.054656828113069836
proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,1440,1440,0.5236180555555555,0.54,44.01875,3.10625,2.1555555555555554,56.916666666666664,8.122222222222222,34.96111111111111,0.4,2.014102935026531,0.017646238760648743
proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,1440,1440,0.13066666666666665,0.05,84.89791666666666,1.211111111111111,0.7451388888888889,41.24861111111111,12.497916666666667,46.25347222222222,0.13601933990671536,2.0196572923389686,0.10218229488193983
proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,1440,1440,0.26575,0.26,70.15763888888888,2.161111111111111,1.4270833333333333,47.99652777777778,11.975,40.02847222222222,0.20651521300714953,2.0196572923389686,0.06201487792835959
proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,1440,1440,0.4561944444444445,0.455,49.170833333333334,3.8229166666666665,2.897222222222222,58.59583333333333,12.066666666666666,29.3375,0.4,2.0196572923389686,0.020645928989130355
proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,1440,1440,0.22498611111111114,0.21,73.21805555555555,1.6652777777777779,1.025,31.174305555555556,16.12013888888889,52.705555555555556,0.11652324578685733,2.012116283536401,0.0877386727785686
proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p1,1440,1440,0.3928680555555556,0.44,55.303472222222226,2.59375,1.7513888888888889,41.6,12.165277777777778,46.234722222222224,0.20186605676623048,2.012116283536401,0.05408688084553016
proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p2,1440,1440,0.5783263888888889,0.61,38.63611111111111,3.2368055555555557,2.2680555555555557,54.83611111111111,9.032638888888888,36.13125,0.4,2.012116283536401,0.016751832111973775
proxy_sigma_controller,geom_k090_r010,proxy_sigma_controller:geom_k090_r010,1440,1440,0.3928680555555556,0.44,55.303472222222226,2.59375,1.7513888888888889,41.6,12.165277777777778,46.234722222222224,0.20186605676623048,2.012116283536401,0.05408688084553016
proxy_sigma_controller,thctl_005_020,proxy_sigma_controller:thctl_005_020,1440,1440,0.3256666666666667,0.355,62.452777777777776,2.3041666666666667,1.554861111111111,32.328472222222224,16.789583333333333,50.88194444444444,0.20775171265649592,2.0162380504538624,0.057713884100013144
proxy_sigma_controller,thctl_012_030,proxy_sigma_controller:thctl_012_030,1440,1440,0.4689305555555556,0.52,48.2625,2.727777777777778,1.79375,52.03611111111111,9.645138888888889,38.31875,0.20013343959444296,2.0095189059753884,0.04659104219182367
proxy_sigma_controller,thctl_016_035,proxy_sigma_controller:thctl_016_035,1440,1440,0.5302222222222223,0.59,43.136805555555554,2.682638888888889,1.71875,60.11736111111111,7.190972222222222,32.69166666666667,0.2,2.006592001948172,0.03661108975052407
vanilla_cma,,vanilla_cma,1440,0,,,,,,,,,,,
