function,dimension,noise_sigma,method,variant_id,method_instance,reference_method_instance,n_pairs,reference_median,method_median,median_delta_vs_reference,win_rate_vs_reference,loss_rate_vs_reference,wilcoxon_p_two_sided,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,vanilla_cma,40,857.7542898902063,563.8573648755878,-237.4982261706873,0.625,0.375,0.03944668134499807,0.0556894324870561
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,vanilla_cma,40,857.7542898902063,728.5060618697374,-279.1099878102742,0.625,0.375,0.08920892782589362,0.11521153010698369
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,vanilla_cma,40,857.7542898902063,1075.6672133260931,99.44422666878557,0.425,0.575,0.7245544941888511,0.753327416340755
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,vanilla_cma,40,857.7542898902063,797.6158923820989,-187.26847947746566,0.625,0.375,0.1577509693797765,0.19089192933351107
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,vanilla_cma,40,857.7542898902063,819.2515383251284,-5.018618330690799,0.5,0.5,0.30106151267864334,0.3413610852419263
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,vanilla_cma,40,857.7542898902063,1253.0797836401073,465.2757508480595,0.325,0.675,0.07932943338346377,0.1038494400656253
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,vanilla_cma,40,857.7542898902063,905.2718020310531,-251.60237343413053,0.65,0.35,0.33356623058170953,0.3752620094044232
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,vanilla_cma,40,857.7542898902063,1087.3222580566035,-199.55007829095226,0.575,0.425,0.9628961195248849,0.966251158268874
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,vanilla_cma,40,857.7542898902063,1366.6998972224537,297.7320144248542,0.325,0.675,0.060269491961662425,0.08149114406083934
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,vanilla_cma,40,857.7542898902063,451.53682351810573,-398.1894837576318,0.775,0.225,0.0008912169196264585,0.0015555786233480003
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p1,vanilla_cma,40,857.7542898902063,633.1072942650733,-349.27498863729,0.7,0.3,0.001770566779669025,0.0029907520970362416
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p2,vanilla_cma,40,857.7542898902063,1004.6077402528773,75.10116981668347,0.45,0.55,0.7954479165618977,0.8211075267735718
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,geom_k090_r010,proxy_sigma_controller:geom_k090_r010,vanilla_cma,40,857.7542898902063,633.1072942650733,-349.27498863729,0.7,0.3,0.001770566779669025,0.0029907520970362416
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,thctl_005_020,proxy_sigma_controller:thctl_005_020,vanilla_cma,40,857.7542898902063,628.4240139028126,-342.27586484448045,0.65,0.35,0.05308265297571779,0.07279906693812725
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,thctl_012_030,proxy_sigma_controller:thctl_012_030,vanilla_cma,40,857.7542898902063,633.1519727072114,-306.8355021189334,0.65,0.35,0.011536851214259514,0.01796007107949589
ellipsoid_cond1e6,10,0.0,proxy_sigma_controller,thctl_016_035,proxy_sigma_controller:thctl_016_035,vanilla_cma,40,857.7542898902063,744.5169243517769,-192.44890051452285,0.625,0.375,0.1315581506714807,0.16088640082117384
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,vanilla_cma,40,857.6759073316034,555.4997162489896,-244.8519408780262,0.625,0.375,0.03944668134499807,0.0556894324870561
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,vanilla_cma,40,857.6759073316034,731.7100270115552,-253.7888748504364,0.65,0.35,0.09723449486591562,0.124460153428372
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,vanilla_cma,40,857.6759073316034,1075.6819565674605,99.39339134151516,0.425,0.575,0.6367651425298391,0.6817411191397533
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,vanilla_cma,40,857.6759073316034,797.7107663005595,-190.65668840187152,0.625,0.375,0.17435350978121278,0.20664119677773365
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,vanilla_cma,40,857.6759073316034,823.7939343949165,-4.959367104481771,0.5,0.5,0.33356623058170953,0.3752620094044232
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,vanilla_cma,40,857.6759073316034,1253.1422617766875,465.24294431911096,0.325,0.675,0.08171383123044507,0.10672826936221397
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,vanilla_cma,40,857.6759073316034,905.3294650889641,-201.3244917557301,0.65,0.35,0.3826448613508546,0.4263122633231959
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,vanilla_cma,40,857.6759073316034,1087.35058228347,-153.50068389545868,0.55,0.45,0.8680334030395898,0.8865021988489428
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,vanilla_cma,40,857.6759073316034,1366.6921296352525,297.7438338961134,0.3,0.7,0.04080139504367253,0.057320984256476526
ellipsoid_cond1e6,10,0.1,proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,vanilla_cma,40,857.6759073316034,451.45931238742094,-396.5796402418916,0.775,0.225,0.0011671793090499705,0.002018904750789138
