method,variant_id,method_instance,reference_method_instance,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value
proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p05,vanilla_cma,36,-43.20152853345416,0.6076388888888888,0.3923611111111111,0.6666666666666666,24,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p1,vanilla_cma,36,-21.35279998371651,0.5118055555555556,0.48819444444444443,0.5555555555555556,24,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p93__sigma_min_ratio_0p2,vanilla_cma,36,4.815804688803861,0.29930555555555555,0.7006944444444445,0.2222222222222222,25,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p05,vanilla_cma,36,-42.85789888172104,0.5895833333333333,0.41041666666666665,0.5833333333333334,22,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p1,vanilla_cma,36,-4.565191647685339,0.47708333333333325,0.5229166666666667,0.5833333333333334,28,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p95__sigma_min_ratio_0p2,vanilla_cma,36,4.508669737346621,0.28472222222222215,0.7152777777777778,0.19444444444444445,25,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p05,vanilla_cma,36,-6.304632031020544,0.5770833333333334,0.42291666666666666,0.6111111111111112,22,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p1,vanilla_cma,36,-0.02362384894204866,0.49236111111111114,0.5076388888888889,0.5,26,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p97__sigma_min_ratio_0p2,vanilla_cma,36,3.9215654597406067,0.2888888888888889,0.7111111111111111,0.2777777777777778,27,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p05,vanilla_cma,36,-41.87873485678836,0.6354166666666666,0.3645833333333333,0.7222222222222222,26,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p1,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p1,vanilla_cma,36,-17.221346309251942,0.5236111111111111,0.47638888888888886,0.5555555555555556,25,1.1388455396113189e-11
proxy_sigma_controller,geom__sigma_down_factor_0p9__sigma_min_ratio_0p2,proxy_sigma_controller:geom__sigma_down_factor_0p9__sigma_min_ratio_0p2,vanilla_cma,36,7.612020715218556,0.30000000000000004,0.7,0.19444444444444445,28,1.1388455396113189e-11
proxy_sigma_controller,geom_k090_r010,proxy_sigma_controller:geom_k090_r010,vanilla_cma,36,-17.221346309251942,0.5236111111111111,0.47638888888888886,0.5555555555555556,25,1.1388455396113189e-11
proxy_sigma_controller,thctl_005_020,proxy_sigma_controller:thctl_005_020,vanilla_cma,36,-20.475182328151593,0.5027777777777778,0.4972222222222222,0.5833333333333334,25,1.1388455396113189e-11
proxy_sigma_controller,thctl_012_030,proxy_sigma_controller:thctl_012_030,vanilla_cma,36,-12.741034743210978,0.5472222222222222,0.4527777777777777,0.5833333333333334,30,1.1388455396113189e-11
proxy_sigma_controller,thctl_016_035,proxy_sigma_controller:thctl_016_035,vanilla_cma,36,-11.210255156388216,0.5361111111111112,0.46388888888888885,0.5555555555555556,19,1.1388455396113189e-11
